iteration,l1_loss,ssim,total_loss,ema_loss,num_gaussians
20700,0.0496031,0.7521743,0.1288921,0.1766168,704817
20800,0.0717546,0.7610092,0.1386491,0.1853201,704817
20900,0.0309110,0.9622318,0.0336539,0.1539967,704817
21000,0.1197164,0.3149105,0.3458656,0.2768305,704817
21100,0.0832330,0.6401693,0.1938721,0.1773399,704817
21200,0.0954849,0.5113804,0.2527388,0.2007836,704817
21300,0.0728885,0.6938692,0.1661854,0.1774800,704817
21400,0.0701889,0.6873491,0.1671737,0.1737212,704817
21500,0.0708621,0.7659324,0.1361443,0.1689319,704817
21600,0.0930528,0.4540952,0.2741936,0.1897926,704817
21700,0.0566705,0.7422478,0.1371032,0.1797754,704817
21800,0.1394343,0.5024624,0.2826756,0.2213090,704817
21900,0.0943579,0.5944232,0.2188455,0.1863115,704817
22000,0.0952412,0.5984427,0.2177676,0.2076991,704817
22100,0.0959557,0.5687028,0.2300923,0.2278821,704817
22200,0.1004988,0.6569902,0.1975032,0.2318372,740838
22300,0.0902186,0.5624022,0.2291703,0.1843226,740838
22400,0.0885068,0.6987417,0.1736074,0.1871809,740838
22500,0.1007677,0.5347121,0.2465758,0.2176422,740838
22600,0.0765997,0.3532049,0.3046778,0.2461776,740838
22700,0.0615042,0.8722890,0.0879869,0.1673168,740838
22800,0.0274917,0.8705602,0.0682710,0.1154289,740838
22900,0.0684230,0.7402483,0.1449545,0.1766034,740838
23000,0.1016364,0.5677465,0.2338833,0.2014032,740838
23100,0.0501679,0.7785118,0.1186960,0.1556712,740838
23200,0.0652016,0.8252151,0.1090349,0.1524166,740838
23300,0.0746615,0.6795065,0.1729943,0.2182618,740838
23400,0.0679037,0.6537743,0.1792325,0.1785221,740838
23500,0.0544551,0.7543039,0.1309515,0.1511903,740838
23600,0.1043896,0.5211545,0.2541720,0.2002508,740838
23700,0.0823459,0.6495625,0.1895826,0.2114433,740838
23800,0.0998561,0.6637268,0.1944230,0.2088427,740838
23900,0.0922650,0.6191633,0.2076937,0.1969638,740838
24000,0.0764035,0.7127876,0.1607271,0.1659084,740838
24100,0.0973907,0.5067292,0.2557427,0.2081490,740838
24200,0.0907703,0.6899884,0.1784669,0.1584569,740838
24300,0.0814049,0.7005392,0.1686273,0.2099988,740838
24400,0.0913784,0.5848104,0.2209029,0.2025624,804184
24500,0.1081891,0.3622805,0.3200012,0.2510438,804184
24600,0.1117999,0.5565197,0.2444721,0.1864461,804184
24700,0.0748044,0.6790755,0.1732525,0.2038443,804184
24800,0.1648772,0.5306132,0.2866811,0.2815779,804184
24900,0.0929589,0.6366761,0.2011049,0.2210612,804184
25000,0.1128944,0.6489967,0.2081380,0.2091404,804184
25100,0.1039215,0.4299729,0.2903637,0.1968083,804184
25200,0.0721329,0.7360057,0.1488775,0.1540941,804184
25300,0.0791853,0.5945223,0.2097023,0.2247569,804184
25400,0.0958183,0.5438790,0.2399394,0.2115037,804184
25500,0.1720781,0.6165072,0.2566440,0.1894593,804184
25600,0.0873684,0.5879602,0.2172370,0.1922573,804184
25700,0.1106145,0.3717158,0.3176824,0.2497651,804184
25800,0.0681808,0.6009719,0.2005197,0.2115504,804184
25900,0.0775966,0.7133608,0.1612136,0.1691176,804184
26000,0.0609296,0.9072700,0.0736497,0.1556691,804184
26100,0.0688926,0.7612171,0.1368487,0.2071787,804184
26200,0.1081160,0.8369325,0.1300966,0.1920985,804184
26300,0.0879213,0.7137187,0.1672653,0.1669881,804184
26400,0.0912352,0.5161030,0.2482999,0.2277196,804184
26500,0.0952864,0.4687454,0.2696737,0.2340795,804184
26600,0.1085975,0.5141104,0.2595143,0.2175559,873294
26700,0.0937134,0.5978607,0.2170837,0.2066100,873294
26800,0.1046960,0.3955158,0.3046113,0.2049387,873294
26900,0.0602562,0.7652105,0.1300695,0.2065103,873294
27000,0.0629281,0.8476709,0.0986885,0.1705939,873294
27100,0.0831510,0.6794018,0.1781299,0.2203701,873294
27200,0.1095580,0.4773852,0.2747808,0.2361971,873294
27300,0.1241953,0.5381837,0.2592437,0.2629155,873294
27400,0.0812491,0.7983723,0.1294006,0.1781786,873294
27500,0.1130899,0.3494262,0.3280835,0.2599330,873294
27600,0.0777668,0.7165554,0.1600380,0.1742805,873294
27700,0.1105196,0.4383099,0.2909878,0.2865799,873294
27800,0.1044663,0.5406187,0.2464323,0.2313798,873294
27900,0.1049891,0.5634137,0.2376280,0.2226228,873294
28000,0.0891864,0.6197003,0.2056317,0.1999600,873294
28100,0.0993685,0.4437832,0.2821078,0.2163432,873294
28200,0.0942183,0.8365000,0.1219309,0.1466620,873294
28300,0.0775044,0.7608684,0.1421553,0.1549378,873294
28400,0.0542080,0.7823721,0.1195760,0.1420843,873294
28500,0.0472830,0.9229705,0.0591816,0.1794015,873294
28600,0.0637019,0.8568248,0.0954912,0.1301107,873294
28700,0.0656384,0.5940464,0.2017645,0.1625775,873294
28800,0.0982651,0.4284766,0.2875684,0.2498688,873294
28900,0.0467806,0.8232901,0.0987523,0.1520407,969043
29000,0.0690118,0.6985672,0.1619802,0.1724800,969043
29100,0.0791463,0.5902517,0.2113871,0.1892940,969043
29200,0.0456689,0.8576131,0.0843561,0.1288733,969043
29300,0.0930069,0.5942485,0.2181047,0.1841515,969043
29400,0.0418228,0.7905694,0.1088659,0.1927087,969043
29500,0.1196573,0.3241853,0.3421202,0.2524560,969043
29600,0.0977764,0.6416523,0.2020050,0.2043868,969043
29700,0.0705451,0.7236837,0.1528536,0.2035146,969043
29800,0.0974763,0.4771481,0.2676266,0.1954422,969043
29900,0.0684630,0.6900716,0.1650492,0.1479844,969043
30000,0.1443012,0.7277545,0.1954789,0.2042167,969043
30100,0.0692927,0.7466488,0.1429161,0.1497939,969043
30200,0.1311884,0.4673493,0.2917733,0.2538489,969043
30300,0.0962922,0.6099737,0.2137858,0.1989668,969043
30400,0.0868473,0.5913972,0.2155495,0.2235067,969043
30500,0.1008443,0.5240880,0.2508714,0.2383908,969043
30600,0.0952365,0.5491436,0.2374845,0.1947232,969043
30700,0.0933307,0.5234473,0.2466195,0.2012051,969043
30800,0.0982705,0.5291235,0.2473129,0.2175587,969043
30900,0.0367439,0.8490363,0.0824318,0.2058853,969043
31000,0.0673638,0.7640847,0.1347844,0.1772177,969043
31100,0.1205887,0.4517097,0.2916693,0.2325796,1013415
31200,0.0889074,0.6203611,0.2052000,0.2381706,1013415
31300,0.0999490,0.5264577,0.2493863,0.2460664,1013415
31400,0.0667935,0.7324833,0.1470828,0.1719611,1013415
31500,0.0913979,0.6375523,0.1998178,0.1961847,1013415
31600,0.0654571,0.7715886,0.1306388,0.1647660,1013415
31700,0.0712489,0.7536528,0.1412882,0.2033386,1013415
31800,0.0859416,0.7148247,0.1656351,0.1894762,1013415
31900,0.0767516,0.7017067,0.1653682,0.1598859,1013415
32000,0.0488305,0.8567543,0.0865966,0.1766060,1013415
32100,0.0558283,0.7010535,0.1530755,0.1784435,1013415
32200,0.0842431,0.5385412,0.2351294,0.2236330,1013415
32300,0.0421274,0.8771239,0.0744269,0.1310899,1013415
32400,0.0639854,0.7239596,0.1488074,0.1642500,1013415
32500,0.0852063,0.6734308,0.1817515,0.1781789,1013415
32600,0.0839527,0.5212626,0.2418665,0.1951376,1013415
32700,0.0799461,0.7455147,0.1497618,0.1853688,1013415
32800,0.0651835,0.8978649,0.0799641,0.1451071,1013415
